x1,x2,X1,X2,X3
356,1003,15,15,0
356,902,15,30,0
356,801,15,45,0
356,700,15,60,0
356,598,15,75,0
356,296,15,120,0
458,394,30,105,0
457,498,30,90,0
555,502,45,90,0
554,599,45,75,0
456,599,30,75,0
555,1091,45,0,0
457,1000,30,15,0
359,1102,15,0,0
262,1104,0,0,0
262,1008,0,15,0
553,995,45,15,0
554,897,45,30,0
555,798,45,45,0
