x1,x2,X1,X2,X3
1409,1606,0,0,2800
1134,1640,0,0,8400
1662,1610,2800,0,0
1932,1644,8400,0,0
1666,1784,2800,2800,0
2412,1917,16800,2800,0
1545,1591,0,0,0
1789,1983,5600,5600,0
2245,1685,14000,0,0
1412,1781,0,2800,2800
1280,1977,0,5600,5600
1794,1627,5600,0,0
1279,1623,0,0,5600
1658,2903,2800,22400,0
1777,2960,5600,22400,0
1905,3021,8400,22400,0
1161,2855,0,19600,8400
857,2802,0,16800,14000
1545,2399,0,14000,0
2599,1949,19600,2800,0
